date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:58	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:22:58%20GMT	https://withmyown2hands.org/robots.txt		(from )
20:52:59	20719/20719	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2015:22:58%20GMT	https://withmyown2hands.org/	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/index.html	(from )
20:53:00	294181/294181	---M-Z	200	added ('OK')	text/css	etag:%2278670ff3e740f74a1e73ef0c5d274731%22	https://uploads-ssl.webflow.com/607a59149948770796d334fc/css/wmo2h.webflow.7e7d7da7e.min.css	C:/Users/dell/Desktop/barath/agri10/uploads-ssl.webflow.com/607a59149948770796d334fc/css/wmo2h.webflow.7e7d7da7e.min.css	(from https://withmyown2hands.org/)
20:53:01	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/dell/Desktop/barath/agri10/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://withmyown2hands.org/)
20:53:01	1031/1031	---M--	200	added ('OK')	image/png	etag:%2295298e12ff40cae1945c5912d17567e8%22	https://uploads-ssl.webflow.com/607a59149948770796d334fc/60a42ef3b53ce431e51b5544_FavIcon.png	C:/Users/dell/Desktop/barath/agri10/uploads-ssl.webflow.com/607a59149948770796d334fc/60a42ef3b53ce431e51b5544_FavIcon.png	(from https://withmyown2hands.org/)
20:53:02	7374/7374	---M--	200	added ('OK')	image/png	etag:%22fd9e00732f707e1c0271ccd77d0048dc%22	https://uploads-ssl.webflow.com/607a59149948770796d334fc/60a42ef73c1dfb951f6216a3_FavIcon-1.png	C:/Users/dell/Desktop/barath/agri10/uploads-ssl.webflow.com/607a59149948770796d334fc/60a42ef73c1dfb951f6216a3_FavIcon-1.png	(from https://withmyown2hands.org/)
20:53:02	104228/104228	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Oct%202022%2015:23:02%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/dell/Desktop/barath/agri10/connect.facebook.net/en_US/fbevents.js	(from https://withmyown2hands.org/)
20:53:03	5343/5343	---M--	200	added ('OK')	image/png	etag:%22b105452b5194022570f8ee8612b2cb4c%22	https://uploads-ssl.webflow.com/607a59149948770796d334fc/608b352ba630e580641b50b0_wmo2h-logo-two-line.png	C:/Users/dell/Desktop/barath/agri10/uploads-ssl.webflow.com/607a59149948770796d334fc/608b352ba630e580641b50b0_wmo2h-logo-two-line.png	(from https://withmyown2hands.org/)
20:53:03	18082/18082	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2015:23:03%20GMT	https://withmyown2hands.org/our-work	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/our-work.html	(from https://withmyown2hands.org/)
20:53:04	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:03%20GMT	https://withmyown2hands.org/why-water-agriculture	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/why-water-agriculture	(from https://withmyown2hands.org/)
20:53:04	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:04%20GMT	https://withmyown2hands.org/our-model	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/our-model	(from https://withmyown2hands.org/)
20:53:05	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:05%20GMT	https://withmyown2hands.org/our-solution	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/our-solution	(from https://withmyown2hands.org/)
20:53:05	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:05%20GMT	https://withmyown2hands.org/sustainable-development	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/sustainable-development	(from https://withmyown2hands.org/)
20:53:06	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Thu,%2027%20Oct%202022%2015:23:06%20GMT	https://withmyown2hands.org/our-impact	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/our-impact	(from https://withmyown2hands.org/)
20:53:07	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:06%20GMT	https://withmyown2hands.org/proof-of-impact	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/proof-of-impact	(from https://withmyown2hands.org/)
20:53:07	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:07%20GMT	https://withmyown2hands.org/about-us	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/about-us	(from https://withmyown2hands.org/)
20:53:08	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:07%20GMT	https://withmyown2hands.org/documentaries	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/documentaries	(from https://withmyown2hands.org/)
20:53:08	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:08%20GMT	https://withmyown2hands.org/journal	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/journal	(from https://withmyown2hands.org/)
20:53:09	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Thu,%2027%20Oct%202022%2015:23:08%20GMT	https://withmyown2hands.org/get-involved	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/get-involved	(from https://withmyown2hands.org/)
20:53:09	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2015:23:09%20GMT	https://withmyown2hands.org/thrive	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/thrive	(from https://withmyown2hands.org/)
20:53:10	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Thu,%2027%20Oct%202022%2015:23:09%20GMT	https://withmyown2hands.org/9th-annual-screening	C:/Users/dell/Desktop/barath/agri10/withmyown2hands.org/9th-annual-screening	(from https://withmyown2hands.org/)
